trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA5,MA10,MA20,MA60
20251024,688981.SH,130.3,134.8,128.9,134.06,128.3,5.76,4.4895,1024466.21,13548726.657,127.798,128.15,130.232,107.88033333333334
20251027,688981.SH,137.5,137.5,132.3,134.5,134.06,0.44,0.3282,1012643.04,13623206.912,130.172,127.95300000000002,130.89000000000001,108.64216666666667
20251028,688981.SH,133.0,135.8,132.0,132.69,134.5,-1.81,-1.3457,695189.45,9299045.972,131.272,128.502,131.07850000000002,109.3785
20251029,688981.SH,132.0,134.53,130.31,133.0,132.69,0.31,0.2336,688460.74,9111437.51,132.51,128.846,131.303,110.11149999999999
20251030,688981.SH,133.0,133.0,128.51,128.55,133.0,-4.45,-3.3459,692863.97,9018982.748,132.56,128.971,130.9815,110.76933333333334
20251031,688981.SH,128.03,128.7,124.18,124.18,128.55,-4.37,-3.3995,691668.89,8692098.673,130.584,129.19099999999997,130.485,111.34916666666666
20251103,688981.SH,122.0,122.6,117.55,120.21,124.18,-3.97,-3.197,747709.27,8940382.093,127.726,128.949,129.882,111.8235
20251104,688981.SH,121.0,122.66,119.0,119.88,120.21,-0.33,-0.2745,477384.17,5770504.489,125.16400000000002,128.21800000000002,129.075,112.26366666666668
20251105,688981.SH,116.9,121.1,116.5,119.78,119.88,-0.1,-0.0834,485016.0,5753269.424,122.52000000000001,127.51500000000001,128.0575,112.72366666666667
20251106,688981.SH,121.9,125.99,121.05,124.85,119.78,5.07,4.2328,731507.65,9060521.121,121.78,127.17,127.35449999999999,113.26833333333333
20251107,688981.SH,122.93,124.18,122.05,122.11,124.85,-2.74,-2.1946,382292.14,4694221.497,121.36600000000001,125.975,127.0625,113.7975
20251110,688981.SH,122.13,122.95,118.76,120.01,122.11,-2.1,-1.7198,395832.71,4749065.264,121.326,124.526,126.23949999999999,114.30600000000001
20251111,688981.SH,120.6,121.47,117.53,117.73,120.01,-2.28,-1.8998,342530.08,4073862.296,120.896,123.03000000000002,125.766,114.79666666666667
20251112,688981.SH,117.0,119.8,115.74,119.63,117.73,1.9,1.6139,457015.52,5405408.039,120.86600000000001,121.69300000000001,125.2695,115.28933333333333
20251113,688981.SH,118.99,123.33,117.8,123.1,119.63,3.47,2.9006,549888.53,6638319.087,120.51599999999999,121.148,125.05949999999999,115.84099999999998
20251114,688981.SH,123.0,125.5,117.89,118.18,123.1,-4.92,-3.9968,775293.52,9432871.553,119.72999999999999,120.548,124.86949999999999,116.29766666666666
20251117,688981.SH,116.82,119.29,116.51,117.63,118.18,-0.55,-0.4654,421773.41,4961789.944,119.25399999999999,120.29,124.61950000000002,116.74833333333332
20251118,688981.SH,117.5,120.18,117.13,117.96,117.63,0.33,0.2805,473915.08,5629538.134,119.3,120.098,124.15800000000002,117.27
20251119,688981.SH,117.99,118.49,115.51,116.28,117.96,-1.68,-1.4242,415119.56,4848790.041,118.63,119.748,123.6315,117.75866666666666
20251120,688981.SH,117.99,118.29,116.46,116.78,116.28,0.5,0.43,344702.85,4045624.435,117.36600000000001,118.941,123.05550000000001,118.22966666666667
20251121,688981.SH,113.86,116.08,113.0,113.0,116.78,-3.78,-3.2369,461358.62,5264860.634,116.33,118.03,122.00250000000001,118.63533333333335
20251124,688981.SH,112.99,113.5,108.18,111.51,113.0,-1.49,-1.3186,557908.63,6159093.355,115.106,117.17999999999999,120.853,119.00283333333333
20251125,688981.SH,112.5,113.96,111.37,111.68,111.51,0.17,0.1525,407223.82,4584278.768,113.85,116.575,119.80250000000001,119.3335
20251126,688981.SH,110.7,113.9,110.61,112.71,111.68,1.03,0.9223,419553.57,4731195.304,113.136,115.883,118.78799999999998,119.6735
20251127,688981.SH,113.8,116.8,112.56,112.71,112.71,0.0,0.0,523431.12,6012840.143,112.322,114.84400000000001,117.99599999999998,120.06283333333334
20251128,688981.SH,112.71,114.11,111.4,113.6,112.71,0.89,0.7896,308663.84,3486790.036,112.44200000000001,114.38600000000001,117.46700000000001,120.41816666666666
20251201,688981.SH,113.4,114.68,112.6,114.4,113.6,0.8,0.7042,327640.04,3724984.486,113.02000000000001,114.06299999999999,117.17649999999999,120.80733333333335
20251202,688981.SH,114.1,114.19,112.7,113.0,114.4,-1.4,-1.2238,237771.82,2694922.636,113.28399999999999,113.56700000000001,116.83249999999998,120.95783333333334
20251203,688981.SH,112.8,113.69,111.13,111.62,113.0,-1.38,-1.2212,245413.59,2756774.41,113.06599999999999,113.101,116.42450000000001,121.09866666666667
20251204,688981.SH,111.65,114.73,110.98,114.73,111.62,3.11,2.7862,387551.96,4392462.735,113.47,112.896,115.91850000000002,121.32866666666668
20251205,688981.SH,114.0,114.88,112.5,114.18,114.73,-0.55,-0.4794,352653.66,4015690.336,113.58599999999998,113.01399999999998,115.522,121.53983333333332
20251208,688981.SH,114.21,118.0,114.18,117.2,114.18,3.02,2.6449,508359.77,5945081.548,114.146,113.583,115.38149999999999,121.50616666666666
20251209,688981.SH,115.58,117.9,115.51,116.32,117.2,-0.88,-0.7509,371384.45,4333826.426,114.80999999999999,114.04699999999998,115.31099999999999,121.53216666666667
20251210,688981.SH,115.58,116.59,113.44,116.31,116.32,-0.01,-0.0086,315714.73,3624511.935,115.748,114.40700000000001,115.14500000000001,121.75416666666666
20251211,688981.SH,116.53,117.14,113.5,113.61,116.31,-2.7,-2.3214,303108.96,3488207.042,115.524,114.497,114.67050000000002,121.91583333333334
20251212,688981.SH,113.61,117.42,111.6,116.8,113.61,3.19,2.8079,584998.04,6734945.965,116.048,114.81699999999998,114.60149999999999,122.02449999999999
20251215,688981.SH,115.15,116.5,113.0,113.01,116.8,-3.79,-3.2449,342417.46,3933791.146,115.21,114.678,114.37049999999999,122.10099999999998
20251216,688981.SH,112.5,113.35,110.27,110.7,113.01,-2.31,-2.0441,323379.53,3605859.884,114.08600000000001,114.44800000000001,114.00749999999998,122.13499999999999
20251217,688981.SH,110.82,113.9,110.13,113.29,110.7,2.59,2.3397,343892.72,3848931.232,113.482,114.61499999999998,113.85799999999999,122.1935
20251218,688981.SH,112.8,115.72,112.75,112.8,113.29,-0.49,-0.4325,314700.29,3583327.202,113.32000000000001,114.422,113.65899999999999,122.11699999999999
20251219,688981.SH,113.2,115.48,113.0,113.63,112.8,0.83,0.7358,272612.5,3107493.842,112.686,114.367,113.6905,121.975
20251222,688981.SH,114.6,121.44,114.6,120.45,113.63,6.82,6.0019,810113.69,9622360.396,114.174,114.69200000000001,114.1375,121.96016666666667
20251223,688981.SH,120.5,121.58,119.02,119.9,120.45,-0.55,-0.4566,483601.42,5823920.043,116.01400000000001,115.05,114.54849999999999,121.80983333333333
20251224,688981.SH,122.5,124.38,121.11,123.41,119.9,3.51,2.9274,629560.98,7744549.16,118.03799999999998,115.75999999999999,115.0835,121.72483333333334
20251225,688981.SH,123.0,125.99,122.66,123.08,123.41,-0.33,-0.2674,471809.58,5854142.202,120.09400000000001,116.70700000000002,115.602,121.5265
20251226,688981.SH,122.58,124.79,121.16,122.1,123.08,-0.98,-0.7962,402397.99,4938389.58,121.78800000000001,117.23700000000001,116.027,121.32633333333334
20251229,688981.SH,123.0,125.65,122.02,122.5,122.1,0.4,0.3276,506831.61,6280270.177,122.19800000000001,118.186,116.43200000000002,121.16350000000001
20251230,688981.SH,124.45,126.69,124.0,125.28,122.5,2.78,2.2694,604958.31,7582347.029,123.274,119.644,117.046,120.9845
20251231,688981.SH,125.99,126.2,122.4,122.83,125.28,-2.45,-1.9556,411586.85,5082728.445,123.15799999999999,120.598,117.60649999999998,120.69616666666667
20260105,688981.SH,126.84,130.17,126.2,129.95,122.83,7.12,5.7966,911394.04,11742866.839,124.532,122.31299999999999,118.36749999999999,120.54683333333332
20260106,688981.SH,129.0,134.2,128.77,131.84,129.95,1.89,1.4544,730696.95,9623978.218,126.47999999999999,124.13399999999999,119.25049999999999,120.61166666666666
20260107,688981.SH,131.84,132.82,128.85,129.98,131.84,-1.86,-1.4108,598040.86,7783876.099,127.97599999999997,125.08699999999999,119.8895,120.50349999999999
20260108,688981.SH,128.95,134.68,128.91,130.15,129.98,0.17,0.1308,616918.81,8145423.327,128.95,126.112,120.58099999999999,120.55266666666667
20260109,688981.SH,129.15,130.01,127.77,128.88,130.15,-1.27,-0.9758,511274.88,6581947.276,130.16,126.65899999999999,121.2095,120.54133333333334
20260112,688981.SH,128.52,129.62,126.68,127.66,128.88,-1.22,-0.9466,563935.64,7202156.993,129.702,127.11699999999999,121.91199999999999,120.54733333333334
20260113,688981.SH,127.49,128.15,122.86,123.63,127.66,-4.03,-3.1568,652072.8,8154109.676,128.06,127.26999999999998,122.2535,120.57483333333333
20260114,688981.SH,123.51,127.6,123.5,124.49,123.63,0.86,0.6956,649683.91,8155390.623,126.96199999999999,127.46899999999998,122.82749999999999,120.60583333333334
20260115,688981.SH,123.49,125.5,122.33,124.44,124.49,-0.05,-0.0402,556604.23,6895087.6,125.82000000000001,127.38499999999999,123.5145,120.55999999999999
20260116,688981.SH,127.5,128.82,124.88,126.99,124.44,2.55,2.0492,756512.57,9597582.828,125.44200000000001,127.801,124.19950000000001,120.56300000000002
20260119,688981.SH,127.05,128.5,125.12,125.29,126.99,-1.7,-1.3387,477537.02,6024303.737,124.968,127.335,124.824,120.51283333333335
20260120,688981.SH,125.0,125.5,121.81,122.18,125.29,-3.11,-2.4822,508693.59,6261665.024,124.678,126.369,125.2515,120.31483333333333
20260121,688981.SH,120.93,128.89,120.58,127.19,122.18,5.01,4.1005,970525.21,12294760.582,125.218,126.09,125.5885,120.193
20260122,688981.SH,128.98,130.82,125.57,126.8,127.19,-0.39,-0.3066,648094.63,8268996.067,125.69000000000001,125.755,125.93350000000001,120.09483333333334
20260123,688981.SH,126.8,127.37,124.03,124.96,126.8,-1.84,-1.4511,490631.04,6130483.631,125.28399999999999,125.36300000000001,126.01100000000001,119.96083333333334
20260126,688981.SH,124.01,125.88,121.9,121.92,124.96,-3.04,-2.4328,502566.5,6184618.809,124.60999999999999,124.78899999999999,125.95300000000002,119.85033333333334
20260127,688981.SH,122.0,125.74,119.22,124.05,121.92,2.13,1.747,655261.57,8023170.134,124.984,124.83099999999999,126.05049999999999,119.84816666666666
20260128,688981.SH,124.99,128.99,124.99,128.55,124.05,4.5,3.6276,994583.26,12644229.527,125.256,125.23700000000001,126.353,119.98716666666665
20260129,688981.SH,127.6,127.81,122.16,122.4,128.55,-6.15,-4.7841,715649.35,8897091.559,124.376,125.03300000000002,126.20900000000002,120.02916666666667
20260130,688981.SH,121.33,124.94,120.07,122.97,122.4,0.57,0.4657,527719.06,6468951.529,123.97800000000002,124.631,126.21600000000001,120.08233333333332
20260202,688981.SH,121.4,122.59,116.8,117.06,122.97,-5.91,-4.8061,596690.81,7104970.929,123.006,123.80800000000002,125.57149999999999,119.95250000000001
20260203,688981.SH,118.69,118.84,113.46,116.03,117.06,-1.03,-0.8799,561769.52,6500024.016,121.402,123.19300000000001,124.78100000000002,119.85116666666666
20260204,688981.SH,114.5,114.99,113.15,114.84,116.03,-1.19,-1.0256,351393.47,4005035.637,118.66,121.958,124.024,119.765
20260205,688981.SH,112.99,114.5,110.39,111.8,114.84,-3.04,-2.6472,446447.65,4982588.635,116.54,120.458,123.10650000000001,119.66616666666667
20260206,688981.SH,110.14,114.6,110.14,112.7,111.8,0.9,0.805,408226.91,4597784.625,114.48600000000002,119.232,122.29749999999999,119.55066666666667
20260209,688981.SH,114.8,115.07,113.7,114.93,112.7,2.23,1.9787,321018.1,3676020.764,114.05999999999999,118.53300000000002,121.66100000000002,119.41450000000002
20260210,688981.SH,115.2,116.9,114.85,116.2,114.93,1.27,1.105,340436.51,3949080.646,114.09400000000001,117.748,121.2895,119.3815
20260211,688981.SH,114.0,116.14,113.5,115.01,116.2,-1.19,-1.0241,345336.73,3955491.126,114.128,116.394,120.81550000000001,119.33783333333334
20260212,688981.SH,115.55,117.18,115.11,116.58,115.01,1.57,1.3651,333622.54,3880738.366,115.08399999999999,115.81199999999998,120.42250000000001,119.31483333333334
20260213,688981.SH,116.23,117.98,115.56,116.93,116.58,0.35,0.3002,343687.4,4020570.46,115.92999999999999,115.20800000000001,119.9195,119.32566666666666
20260224,688981.SH,118.03,118.18,115.62,115.82,116.93,-1.11,-0.9493,276155.68,3217730.655,116.10799999999999,115.08399999999999,119.446,119.30966666666667
20260225,688981.SH,117.0,117.5,115.85,116.13,115.82,0.31,0.2677,275528.56,3214693.555,116.09400000000001,115.09400000000001,119.14350000000002,119.36183333333334
20260226,688981.SH,116.13,117.23,114.29,116.65,116.13,0.52,0.4478,327021.83,3787597.479,116.422,115.275,118.6165,119.4475
20260227,688981.SH,115.03,115.87,114.32,115.0,116.65,-1.65,-1.4145,279308.78,3213704.146,116.106,115.595,118.02649999999998,119.50283333333333
20260302,688981.SH,112.88,114.2,112.3,112.53,115.0,-2.47,-2.1478,349784.75,3952733.063,115.226,115.578,117.405,119.49983333333333
20260303,688981.SH,113.23,114.75,107.69,108.31,112.53,-4.22,-3.7501,540987.0,5976584.863,113.724,114.91600000000001,116.7245,119.4265
20260304,688981.SH,107.32,109.7,106.12,106.69,108.31,-1.62,-1.4957,322749.58,3470640.119,111.83599999999998,113.96499999999999,115.85650000000001,119.31133333333332
20260305,688981.SH,108.6,109.26,106.09,106.9,106.69,0.21,0.1968,353531.81,3803229.096,109.88600000000001,113.154,114.774,119.18633333333334
20260306,688981.SH,107.0,108.34,106.17,106.5,106.9,-0.4,-0.3742,340486.16,3648254.394,108.186,112.146,113.979,119.078
20260309,688981.SH,103.97,105.79,101.63,105.14,106.5,-1.36,-1.277,393559.67,4065897.45,106.708,110.96700000000001,113.0875,118.97
20260310,688981.SH,106.9,107.75,105.7,107.28,105.14,2.14,2.0354,318321.9,3400130.457,106.502,110.11300000000001,112.59850000000002,118.84583333333333
20260311,688981.SH,107.23,108.8,107.0,107.1,107.28,-0.18,-0.1678,279982.97,3016803.608,106.58399999999999,109.21000000000001,112.152,118.72783333333334
20260312,688981.SH,107.0,108.55,104.95,106.01,107.1,-1.09,-1.0177,288819.77,3075181.737,106.40599999999999,108.146,111.7105,118.54133333333334
20260313,688981.SH,105.02,107.83,104.5,107.06,106.01,1.05,0.9905,341633.26,3642164.903,106.518,107.352,111.47349999999999,118.38699999999999
20260316,688981.SH,106.31,110.32,105.5,108.6,107.06,1.54,1.4384,422554.97,4559220.659,107.21000000000001,106.95899999999999,111.26850000000002,118.2585
20260317,688981.SH,108.54,108.58,105.99,106.02,108.6,-2.58,-2.3757,295718.04,3173439.587,106.958,106.72999999999999,110.82300000000001,118.132
20260318,688981.SH,105.78,106.88,105.25,106.6,106.02,0.58,0.5471,263345.92,2794678.901,106.85799999999999,106.721,110.343,117.962
20260319,688981.SH,105.01,107.69,104.51,105.96,106.6,-0.64,-0.6004,378655.95,4001785.717,106.848,106.627,109.8905,117.8445
20260320,688981.SH,105.2,105.72,102.18,102.18,105.96,-3.78,-3.5674,381294.75,3960183.826,105.872,106.19500000000001,109.17049999999999,117.70250000000001
20260323,688981.SH,100.01,101.99,97.4,98.04,102.18,-4.14,-4.0517,506671.26,5040929.175,103.75999999999999,105.48499999999999,108.226,117.44833333333334
20260324,688981.SH,98.9,99.37,97.25,99.25,98.04,1.21,1.2342,336803.26,3314641.85,102.40599999999999,104.68200000000002,107.3975,117.22250000000001
20260325,688981.SH,99.67,100.94,99.28,99.99,99.25,0.74,0.7456,321306.43,3215491.219,101.084,103.971,106.59049999999999,116.99516666666666
20260326,688981.SH,99.55,99.7,96.55,96.88,99.99,-3.11,-3.1103,313198.89,3067688.006,99.268,103.05799999999999,105.602,116.60233333333333
20260327,688981.SH,96.0,98.39,95.87,97.5,96.88,0.62,0.64,280875.27,2738255.865,98.33200000000001,102.102,104.727,116.229
20260330,688981.SH,95.8,96.19,94.0,95.83,97.5,-1.67,-1.7128,328870.03,3130020.525,97.89,100.825,103.89200000000001,115.76933333333334
20260331,688981.SH,95.8,97.4,94.0,94.05,95.83,-1.78,-1.8575,293839.03,2809492.923,96.85,99.628,103.179,115.2855
20260401,688981.SH,96.4,96.7,94.81,96.33,94.05,2.28,2.4242,325648.08,3121615.312,96.118,98.601,102.66099999999999,114.856
20260402,688981.SH,95.5,95.79,92.51,93.2,96.33,-3.13,-3.2492,293828.32,2760191.974,95.38199999999999,97.325,101.976,114.36766666666666
20260403,688981.SH,93.41,93.94,91.76,91.78,93.2,-1.42,-1.5236,216461.63,2004261.621,94.238,96.285,101.24,113.80933333333333
20260407,688981.SH,91.5,96.99,91.2,95.62,91.78,3.84,4.1839,458242.31,4340589.11,94.196,96.04299999999999,100.764,113.35583333333334
20260408,688981.SH,99.02,101.54,99.02,101.18,95.62,5.56,5.8147,544697.12,5458085.866,95.622,96.236,100.459,112.87633333333333
20260409,688981.SH,99.4,101.2,99.2,99.72,101.18,-1.46,-1.443,310716.53,3111335.889,96.3,96.209,100.09,112.341
20260410,688981.SH,101.0,102.79,100.68,101.01,99.72,1.29,1.2936,406305.14,4130861.809,97.86200000000001,96.622,99.84,111.85816666666668
20260413,688981.SH,99.85,102.8,99.72,100.64,101.01,-0.37,-0.3663,351885.22,3554994.262,99.634,96.936,99.51899999999999,111.36633333333333
20260414,688981.SH,102.1,102.28,100.38,101.52,100.64,0.88,0.8744,370910.59,3760621.304,100.814,97.505,99.165,110.91033333333333
