final_value,cumulative_return,annual_return,max_drawdown,sharpe_ratio,bh_final_value,bh_cumulative_return,bh_max_drawdown,bh_sharpe_ratio,buy_count,sell_count,win_rate,stock,param
118715.36,0.1871536,0.20104209743884205,-0.30951734236610523,0.5824317463290898,163504.15,0.6350414999999999,-0.34494589375205337,1.1852128473943653,4,4,0.75,中芯国际,入20/出10/ATR20/止2.0
121921.7,0.21921699999999997,0.23571127753285337,-0.2908683472868007,0.6473103340481534,163504.15,0.6350414999999999,-0.34494589375205337,1.1852128473943653,4,4,0.75,中芯国际,入20/出10/ATR20/止1.5
118715.36,0.1871536,0.20104209743884205,-0.30951734236610523,0.5824317463290898,163504.15,0.6350414999999999,-0.34494589375205337,1.1852128473943653,4,3,1.0,中芯国际,入20/出10/ATR20/止3.0
99226.52,-0.007734799999999959,-0.008257022463548536,-0.21840737821606088,0.09915919780661911,163504.15,0.6350414999999999,-0.34494589375205337,1.1852128473943653,2,1,0.0,中芯国际,入55/出20/ATR20/止2.0
155714.83000000002,0.5571483000000002,0.6046092682519311,-0.15337672648212639,1.2395672068544223,163504.15,0.6350414999999999,-0.34494589375205337,1.1852128473943653,5,5,0.6,中芯国际,入10/出5/ATR20/止2.0
108971.45999999999,0.08971459999999992,0.18274211543350405,-0.11135327413450458,1.0714797903760043,118642.54000000001,0.18642540000000007,-0.15092220854645147,1.341519570418263,3,2,0.5,三一重工,入20/出10/ATR20/止2.0
108971.45999999999,0.08971459999999992,0.18274211543350405,-0.11135327413450458,1.0714797903760043,118642.54000000001,0.18642540000000007,-0.15092220854645147,1.341519570418263,3,2,0.5,三一重工,入20/出10/ATR20/止1.5
108971.45999999999,0.08971459999999992,0.18274211543350405,-0.11135327413450458,1.0714797903760043,118642.54000000001,0.18642540000000007,-0.15092220854645147,1.341519570418263,3,2,0.5,三一重工,入20/出10/ATR20/止3.0
100000.0,0.0,0.0,0.0,0.0,118642.54000000001,0.18642540000000007,-0.15092220854645147,1.341519570418263,0,0,0.0,三一重工,入55/出20/ATR20/止2.0
117299.83000000002,0.17299830000000016,0.36575132752695905,-0.07155414458399194,2.014785123480789,118642.54000000001,0.18642540000000007,-0.15092220854645147,1.341519570418263,3,2,0.5,三一重工,入10/出5/ATR20/止2.0
103037.62000000001,0.0303762000000001,0.020477935793282054,-0.14796551156232413,0.0813116074238434,136696.65999999997,0.36696659999999975,-0.1692461499748402,0.9265974279939383,6,5,0.4,平安集团,入20/出10/ATR20/止2.0
94655.77999999998,-0.053442200000000155,-0.036522426920520434,-0.17783466435857273,-0.3101350262983931,136696.65999999997,0.36696659999999975,-0.1692461499748402,0.9265974279939383,8,7,0.14285714285714285,平安集团,入20/出10/ATR20/止1.5
103037.62000000001,0.0303762000000001,0.020477935793282054,-0.14796551156232413,0.0813116074238434,136696.65999999997,0.36696659999999975,-0.1692461499748402,0.9265974279939383,6,5,0.4,平安集团,入20/出10/ATR20/止3.0
99634.16999999997,-0.0036583000000003085,-0.0024796678489756863,-0.13197821439056587,-0.08833505031537002,136696.65999999997,0.36696659999999975,-0.1692461499748402,0.9265974279939383,3,2,0.5,平安集团,入55/出20/ATR20/止2.0
99506.29000000004,-0.004937099999999628,-0.003347156146822239,-0.2180234365771172,-0.050747663076408676,136696.65999999997,0.36696659999999975,-0.1692461499748402,0.9265974279939383,11,11,0.2727272727272727,平安集团,入10/出5/ATR20/止2.0
258098.52999999997,1.5809852999999996,0.6383275373577246,-0.25870154104525683,1.3644202342333434,444076.75,3.4407675,-0.41819712118905766,1.6523487371960313,9,8,0.625,中国卫星,入20/出10/ATR20/止2.0
258098.52999999997,1.5809852999999996,0.6383275373577246,-0.25870154104525683,1.3644202342333434,444076.75,3.4407675,-0.41819712118905766,1.6523487371960313,9,8,0.625,中国卫星,入20/出10/ATR20/止1.5
316853.58,2.1685358000000003,0.8229620502416999,-0.24278994851484756,1.5947492102440703,444076.75,3.4407675,-0.41819712118905766,1.6523487371960313,8,7,0.7142857142857143,中国卫星,入20/出10/ATR20/止3.0
159434.48000000004,0.5943448000000005,0.2749017242709122,-0.38584236750401946,0.7563466554631569,444076.75,3.4407675,-0.41819712118905766,1.6523487371960313,6,6,0.16666666666666666,中国卫星,入55/出20/ATR20/止2.0
231676.99000000002,1.3167699000000002,0.548746557272151,-0.27862287075740655,1.2440267685378077,444076.75,3.4407675,-0.41819712118905766,1.6523487371960313,14,13,0.5384615384615384,中国卫星,入10/出5/ATR20/止2.0
256472.85000000012,1.5647285000000013,0.6329465422129943,-0.23446812333827194,1.3904465188708512,314721.56999999995,2.1472156999999994,-0.4017708180529987,1.3892673670300377,7,7,0.5714285714285714,航天电子,入20/出10/ATR20/止2.0
256472.85000000012,1.5647285000000013,0.6329465422129943,-0.23446812333827194,1.3904465188708512,314721.56999999995,2.1472156999999994,-0.4017708180529987,1.3892673670300377,7,7,0.5714285714285714,航天电子,入20/出10/ATR20/止1.5
249984.55000000005,1.4998455000000004,0.6113056527363148,-0.2344709884424279,1.3438871159617394,314721.56999999995,2.1472156999999994,-0.4017708180529987,1.3892673670300377,7,7,0.5714285714285714,航天电子,入20/出10/ATR20/止3.0
145141.65000000002,0.4514165000000002,0.21405633378807343,-0.30793128594745933,0.6843638995614487,314721.56999999995,2.1472156999999994,-0.4017708180529987,1.3892673670300377,6,6,0.16666666666666666,航天电子,入55/出20/ATR20/止2.0
225225.81000000003,1.2522581000000004,0.526140711749636,-0.33712304913361046,1.2622865879510394,314721.56999999995,2.1472156999999994,-0.4017708180529987,1.3892673670300377,15,14,0.6428571428571429,航天电子,入10/出5/ATR20/止2.0
209131.68,1.0913168,0.4683519268561134,-0.3821439712634997,1.0641079411770644,365686.88,2.6568688000000003,-0.5241898312014357,1.3646356562731763,8,8,0.25,航天动力,入20/出10/ATR20/止2.0
229797.24,1.2979724,0.5421911478349108,-0.3210898983788183,1.1841530337202375,365686.88,2.6568688000000003,-0.5241898312014357,1.3646356562731763,8,8,0.25,航天动力,入20/出10/ATR20/止1.5
250907.45,1.5090745,0.6144001552807288,-0.36728721311826057,1.2443959937586133,365686.88,2.6568688000000003,-0.5241898312014357,1.3646356562731763,8,7,0.2857142857142857,航天动力,入20/出10/ATR20/止3.0
149516.62,0.49516619999999995,0.23297429335501985,-0.3251926157830599,0.69091188508884,365686.88,2.6568688000000003,-0.5241898312014357,1.3646356562731763,4,4,0.25,航天动力,入55/出20/ATR20/止2.0
287521.57999999996,1.8752157999999997,0.7330531629002237,-0.3058779309369185,1.4599093217622705,365686.88,2.6568688000000003,-0.5241898312014357,1.3646356562731763,12,12,0.3333333333333333,航天动力,入10/出5/ATR20/止2.0
