final_value,cumulative_return,annual_return,max_drawdown,sharpe_ratio,bh_final_value,bh_cumulative_return,bh_max_drawdown,bh_sharpe_ratio,buy_count,sell_count,stock,short_window,long_window,param
75270.80999999995,-0.24729190000000045,-0.1374897649322928,-0.2891350944654919,-1.1117329194143657,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,16,16,贵州茅台,5,20,MA5/MA20
68776.04,-0.31223960000000006,-0.1770757754179213,-0.31382360000000015,-1.5949395555432895,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,15,15,贵州茅台,10,20,MA10/MA20
69358.95999999999,-0.3064104000000001,-0.17345161518504482,-0.31205520000000003,-1.482632955586315,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,10,10,贵州茅台,10,30,MA10/MA30
80137.56,-0.19862440000000003,-0.10889023992427249,-0.2552650521973616,-0.8290019008541998,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,11,11,贵州茅台,5,30,MA5/MA30
163431.2900000001,0.634312900000001,0.2914433389381059,-0.33157317595118607,0.8393525939227798,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,16,17,宁德时代,5,15,MA5/MA15
156978.29999999993,0.5697829999999993,0.2646375822843343,-0.2835246259926554,0.7856160096020104,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,13,13,宁德时代,5,20,MA5/MA20
154641.36000000004,0.5464136000000004,0.25480002138970415,-0.2508288214624607,0.7644199736211947,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,12,12,宁德时代,10,20,MA10/MA20
154782.95999999996,0.5478295999999996,0.25539811892521547,-0.2446081833057329,0.7599994334839781,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,10,10,宁德时代,10,30,MA10/MA30
176361.96,0.7636196,0.3436726243088948,-0.22550849955782648,0.9492132477779099,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,11,11,宁德时代,5,30,MA5/MA30
42716.85999999999,-0.5728314000000001,-0.35780426751526573,-0.7441338151997389,-0.3740169127044184,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,16,15,比亚迪,5,15,MA5/MA15
33724.71999999999,-0.6627528000000001,-0.43216645757804495,-0.7913220522118904,-0.6083845665620669,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,17,16,比亚迪,5,20,MA5/MA20
32421.439999999966,-0.6757856000000003,-0.44369959077150223,-0.8014365216133564,-0.6352351147044791,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,13,13,比亚迪,10,20,MA10/MA20
140834.33999999997,0.4083433999999997,0.1951619890941907,-0.2638422771945101,0.7711385220611376,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,9,9,比亚迪,10,30,MA10/MA30
37305.639999999956,-0.6269436000000005,-0.4015338198392012,-0.7684829912108927,-0.5196075210912289,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,13,13,比亚迪,5,30,MA5/MA30
