ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI,MACD_DIF,MACD_DEA,MACD_Hist,BOLL_MA,BOLL_Upper,BOLL_Lower,BOLL_BW,K,D,J
600031.SH,2025-04-01,19.15,19.2,18.83,18.93,19.07,-0.14,-0.7341,372331.3,706317.072,46.86529692527941,0.2627166600771993,0.5042733175440594,-0.4831133149337201,19.8,20.766099046899864,18.833900953100137,9.758576231311752,11.1375666702906,17.383728499373902,-1.3547569878760015
600031.SH,2025-04-02,18.89,19.44,18.88,19.36,18.93,0.43,2.2715,535948.34,1034269.275,53.72907356432462,0.2398108146332234,0.4513808169618922,-0.4231400046573376,19.784,20.7688836426063,18.799116357393697,9.956365169897921,20.911049535918927,18.559502178222242,25.614144251312297
600031.SH,2025-04-03,19.2,19.32,18.89,19.1,19.36,-0.26,-1.343,411313.69,786068.079,49.56029928761167,0.19839101191064046,0.40078285595164187,-0.4047836880820028,19.756,20.786511370247947,18.725488629752054,10.432388846405615,20.810928698246272,19.309977684896918,23.81283072494498
600031.SH,2025-04-07,18.15,18.45,17.49,18.0,19.1,-1.1,-5.7592,1211637.53,2174458.522,36.61610124340209,0.07592944553926628,0.3358121738691668,-0.519765456659801,19.663,20.956222820382354,18.369777179617646,13.153870928976799,20.48873845771543,19.70289794250309,22.06041948814012
600031.SH,2025-04-08,18.2,18.55,17.8,18.55,18.0,0.55,3.0556,1231862.5,2249528.296,44.43108111545001,0.022993124928767372,0.27324836408108694,-0.5005104783046391,19.567,20.892635498047643,18.241364501952358,13.549706117929599,30.017183663168346,23.14099318272484,43.76956462405536
600031.SH,2025-04-09,18.39,19.12,18.15,19.12,18.55,0.57,3.0728,1088675.06,2037459.402,51.15286929112648,0.02672685522049889,0.22394406230896935,-0.3944344141769409,19.496,20.752518163313475,18.239481836686522,12.890009882165328,47.31463835501006,31.198874906819913,79.54616525139036
600031.SH,2025-04-10,19.4,19.41,18.8,19.1,19.12,-0.02,-0.1046,801014.98,1526645.635,50.92012333439254,0.027752121343986857,0.18470567411597286,-0.313907105543972,19.443,20.670682455086066,18.215317544913937,12.628529085903045,58.5112664410285,40.303005418222774,94.92778848663995
600031.SH,2025-04-11,18.91,19.39,18.91,19.31,19.1,0.21,1.0995,482423.71,926743.118,53.32172473904749,0.04499126578439672,0.15676279244965763,-0.22354305333052182,19.4065,20.602445342880575,18.210554657119427,12.325203853147901,70.11862207179674,50.24154430274743,109.87277760989537
600031.SH,2025-04-14,19.31,19.39,18.81,18.89,19.31,-0.42,-2.175,659575.9,1254313.921,48.23779443990304,0.024480723499426205,0.13030637865961134,-0.21165131032037027,19.3265,20.427566946671494,18.225433053328505,11.394375046402551,70.67737197948841,57.053486861661085,97.92514221514307
600031.SH,2025-04-15,18.89,18.98,18.5,18.96,18.89,0.07,0.3706,498659.89,934753.52,49.10870259028946,0.013716273293255199,0.10698835758634012,-0.18654416858616985,19.253000000000004,20.233571262071184,18.272428737928823,10.186165917739364,72.24645311453074,62.11780894595096,92.50374145169029
600031.SH,2025-04-16,18.95,19.1,18.43,19.1,18.96,0.14,0.7384,596409.43,1118508.24,50.88844815054043,0.016294367595619974,0.0888495595881961,-0.14511038398515225,19.212,20.14243509912518,18.28156490087482,9.685978545962733,76.11569096524273,66.78376961904821,94.77953365763179
600031.SH,2025-04-17,18.95,19.16,18.83,19.06,19.1,-0.04,-0.2094,433571.23,823346.74,50.346694314482065,0.014937668059349818,0.07406718128242684,-0.11825902644615405,19.165,20.019720637647726,18.310279362352272,8.919599662381707,78.0007384212729,70.52275921978978,92.95669682423915
600031.SH,2025-04-18,19.05,19.23,18.8,19.19,19.06,0.13,0.6821,364503.89,694159.637,52.13035024520509,0.024074867362163133,0.0640687184983741,-0.07998770227242194,19.131999999999998,19.924028707613616,18.33997129238638,8.27962270137589,80.7789601897513,73.94149287644362,94.45389481636667
600031.SH,2025-04-21,19.08,19.4,18.91,19.23,19.19,0.04,0.2084,381040.22,731202.525,52.693450225523286,0.034150167472773774,0.05808500829325404,-0.04786968164096053,19.114,19.878072192786366,18.349927807213636,7.994895812350792,82.42406869792944,76.76901815027222,93.7341697932439
600031.SH,2025-04-22,19.23,19.23,18.94,18.95,19.23,-0.28,-1.4561,330581.23,628462.385,48.401389888212336,0.0193185630868129,0.05033171925196581,-0.062026312330305824,19.063499999999998,19.717758117420352,18.409241882579643,6.8639873834327885,72.63645396188491,75.3914967541431,67.12636837736852
600031.SH,2025-04-23,19.01,19.64,18.98,19.4,18.95,0.45,2.3747,719919.72,1395551.262,54.77681944562856,0.04337564155266094,0.048940503712104844,-0.011129724318887813,19.0555,19.687738296180953,18.423261703819044,6.635756565620997,75.14606572665599,75.30968641164739,74.81882435667319
600031.SH,2025-04-24,19.42,19.65,19.03,19.05,19.4,-0.35,-1.8041,428221.56,825620.533,49.639473319877546,0.033809242726160704,0.045914251514916016,-0.024210017577510623,19.0435,19.66603387140985,18.420966128590152,6.538019496519546,67.03726786148655,72.55221356159377,56.007376461272116
600031.SH,2025-04-25,19.2,19.24,18.96,19.09,19.05,0.04,0.21,294040.99,560318.175,50.214151305084926,0.029119793586009024,0.04255535992913462,-0.026871132686251187,19.035500000000003,19.65093224005992,18.420067759940085,6.466152610227385,62.72429879290362,69.27624197203039,49.62041243465006
600031.SH,2025-04-28,19.09,19.38,19.0,19.05,19.09,-0.04,-0.2095,290181.43,556163.009,49.60455747864654,0.02192299105642448,0.03842888615459259,-0.033011790196336224,19.0255,19.632701518616706,18.418298481383296,6.383028237015637,58.756089905651635,65.7695246165708,44.72922048381329
600031.SH,2025-04-29,18.96,19.25,18.96,19.19,19.05,0.14,0.7349,344705.47,659630.045,51.80965206433255,0.02720272706821092,0.03618365433731626,-0.017961854538210684,19.0315,19.642909932257457,18.420090067742546,6.425241649449127,54.46484425082664,62.00129782798941,39.39193709650108
600031.SH,2025-04-30,19.48,19.56,18.88,18.89,19.19,-0.3,-1.5633,704212.24,1347148.465,47.057973214745594,0.007097645857296442,0.0303664526413123,-0.04653761356803172,19.029500000000002,19.642567352700564,18.41643264729944,6.443336427132201,39.83930793192364,54.613967862634155,10.289988070502616
600031.SH,2025-05-06,19.18,19.75,19.07,19.68,18.89,0.79,4.1821,797109.1,1558058.474,57.98558475409661,0.05428485977060049,0.03515013406716994,0.038269451406861096,19.0455,19.70947447636416,18.38152552363584,6.972507693304562,57.210879617451,55.47960511423976,60.67342862387349
600031.SH,2025-05-07,20.1,20.1,19.51,19.69,19.68,0.01,0.0508,524204.36,1032592.016,58.10347023761019,0.09143398907850653,0.04640690506943726,0.09005416801813854,19.075,19.79889298423971,18.351107015760288,7.589965758738781,60.27173395261762,57.07698139369904,66.66123907045477
600031.SH,2025-05-08,19.57,19.57,19.35,19.41,19.69,-0.28,-1.422,416313.43,808769.321,53.571004688500736,0.09716126715076001,0.056557777485701816,0.08120697933011639,19.1455,19.677881936503923,18.613118063496074,5.5614315270316705,54.66203028535163,56.27199769091657,51.442095474221745
600031.SH,2025-05-09,19.41,19.8,19.37,19.72,19.41,0.31,1.5971,520687.36,1022788.072,57.52181965727228,0.1252705446472433,0.07030033091801012,0.10994042745846636,19.204,19.71766177690431,18.69033822309569,5.349529024206525,59.39217319569885,57.31205619251066,63.55240720207523
600031.SH,2025-05-12,19.78,20.16,19.7,20.0,19.72,0.28,1.4199,612425.39,1224229.827,60.76900963067506,0.1682020806385367,0.08988068086211544,0.15664279955284252,19.248,19.870578678181452,18.62542132181855,6.469022009366701,68.76144879713257,61.12852039405129,84.02730560329513
600031.SH,2025-05-13,20.09,20.19,19.81,19.92,20.0,-0.08,-0.4,442906.06,882733.307,59.372500524526075,0.19353930022558075,0.1106124047348085,0.16585379098154449,19.289,19.97528366085587,18.602716339144134,7.115803420144822,72.30407019045481,64.85370365951913,87.20480325232617
600031.SH,2025-05-14,19.87,19.87,19.33,19.58,19.92,-0.34,-1.7068,703918.53,1375618.539,53.72199435267211,0.18406231499918135,0.12530238678768307,0.11751985642299656,19.302500000000002,20.00103606319129,18.603963936808714,7.237778144709623,66.01441829490875,65.24060853798233,67.5620378087616
